reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,important_notes,reporting_period,reporting_year_start,reporting_year_end,abs_reference_year,source_file,facility_name_key,facility_name_canonical,facility_name_core,reporting_entity_key,primary_fuel_family,nger_row_id,candidate_power_station_name,candidate_accreditation_code,candidate_installed_capacity_mw,candidate_postcode,candidate_fuel_source,candidate_accreditation_start_date,candidate_accreditation_start_year,candidate_suspension_status,candidate_baseline_mwh,candidate_fuel_family,facility_match_method,facility_match_status,matched_power_station_name,matched_accreditation_code,matched_installed_capacity_mw,matched_postcode,matched_fuel_source,matched_accreditation_start_date,matched_accreditation_start_year,matched_suspension_status,matched_baseline_mwh,matched_fuel_family,facility_match_found,matched_is_renewable_power_station,business_entries_count,business_exits_count,employee_income_earners_count,mean_employee_income_aud,median_employee_income_aud,total_businesses_count,total_employee_income_million_aud,utilities_businesses_count
ACCIONA ENERGY OCEANIA PTY LTD,Royalla Solar Farm,F,ACT,213115.0,59199.0,0.0,15.0,15.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,royalla solar farm,royalla solar farm,royalla,acciona energy oceania pty ltd,solar,2,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01,2014.0,Unsuspended,0.0,solar,canonical_name_state,matched,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01 00:00:00,2014.0,Unsuspended,0.0,solar,True,True,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Mugga Lane LFG Power Station,F,ACT,79427.0,22063.0,1398.0,1.0,1399.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,mugga lane lfg power station,mugga lane lfg power station,mugga lane lfg,energy developments limited,bioenergy,131,Mugga Lane - LFG - ACT,BEBGAC03,6.39,2609.0,Biomass,2020-06-11,2020.0,Unsuspended,0.0,bioenergy,core_name_state_fuel,rejected_future_accreditation,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,West Belconnen LFG Power Station,F,ACT,11163.0,3101.0,201.0,8.0,209.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,west belconnen lfg power station,west belconnen lfg power station,west belconnen lfg,energy developments limited,bioenergy,141,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ROYALLA HOLDINGS ASSET PTY LTD,Royalla Solar Farm,F,ACT,49475.0,13743.0,0.0,85.0,85.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,royalla solar farm,royalla solar farm,royalla,royalla holdings asset pty ltd,solar,300,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01,2014.0,Unsuspended,0.0,solar,canonical_name_state,matched,Royalla Solar Farm - ACT,SRPVAC06,20.0,2901.0,Solar,2014-05-01 00:00:00,2014.0,Unsuspended,0.0,solar,True,True,,,,,,,,
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,567719.0,157700.0,19.0,293.0,312.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,gunning wind farm,gunning wind farm,gunning,acciona energy oceania pty ltd,wind,1,Gunning Wind Farm - NSW,WD00NS07,46.5,2581.0,Wind,2011-03-23,2011.0,Unsuspended,0.0,wind,canonical_name_state,matched,Gunning Wind Farm - NSW,WD00NS07,46.5,2581.0,Wind,2011-03-23 00:00:00,2011.0,Unsuspended,0.0,wind,True,True,,,,,,,,
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50275548.0,13965430.0,12253123.0,8306.0,12261429.0,0.88,On,NEM,Black Coal,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,bayswater power station,bayswater power station,bayswater,agl energy limited,coal,5,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,27428.0,7619.0,1.0,97.0,98.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,burrendong hydro,burrendong hydro,burrendong,agl energy limited,hydro,7,Burrendong,HY00NS12,19.0,2820.0,Hydro,2001-08-22,2001.0,Unsuspended,40880.0,hydro,core_name_state_fuel,matched,Burrendong,HY00NS12,19.0,2820.0,Hydro,2001-08-22 00:00:00,2001.0,Unsuspended,40880.0,hydro,True,True,,,,,,,,
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,139785.0,38829.0,1.0,75.0,76.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,copeton hydro,copeton hydro,copeton,agl energy limited,hydro,10,Copeton,HY00NS11,20.0,2360.0,Hydro,2001-08-22,2001.0,Unsuspended,35471.0,hydro,core_name_state_fuel,matched,Copeton,HY00NS11,20.0,2360.0,Hydro,2001-08-22 00:00:00,2001.0,Unsuspended,35471.0,hydro,True,True,,,,,,,,
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,42254.0,11737.0,0.0,16.0,16.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,glenbawn hydro,glenbawn hydro,glenbawn,agl energy limited,hydro,13,Glenbawn,HYMINS05,5.5,2337.0,Hydro,2001-08-22,2001.0,Unsuspended,11968.0,hydro,core_name_state_fuel,matched,Glenbawn,HYMINS05,5.5,2337.0,Hydro,2001-08-22 00:00:00,2001.0,Unsuspended,11968.0,hydro,True,True,,,,,,,,
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,901.0,250.0,355.0,869.0,1224.0,1.42,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,hunter valley gas turbines,hunter valley gas turbines,hunter valley gas turbines,agl energy limited,gas,20,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,14613.0,4059.0,238.0,5.0,243.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,kincumber landfill generation,kincumber landfill generation,kincumber landfill generation,agl energy limited,bioenergy,21,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,24864251.0,6906736.0,6514993.0,46355.0,6561348.0,0.94,On,NEM,Black Coal,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,liddell power station,liddell power station,liddell,agl energy limited,coal,22,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,33769.0,9380.0,9.0,59.0,68.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,nyngan solar plant,nyngan solar plant,nyngan,agl energy limited,solar,27,Nyngan Solar Plant - NSW,SRPVNS31,102.0,2825.0,Solar,2015-03-21,2015.0,Unsuspended,0.0,solar,canonical_name_state,matched,Nyngan Solar Plant - NSW,SRPVNS31,102.0,2825.0,Solar,2015-03-21 00:00:00,2015.0,Unsuspended,0.0,solar,True,True,,,,,,,,
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,19739.0,5483.0,356.0,8.0,364.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,shoalhaven landfill generation,shoalhaven landfill generation,shoalhaven landfill generation,agl energy limited,bioenergy,31,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
AGL ENERGY LIMITED,Woy Woy Landfill Generation,F,NSW,31209.0,8669.0,469.0,2.0,471.0,0.05,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,woy woy landfill generation,woy woy landfill generation,woy woy landfill generation,agl energy limited,bioenergy,39,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,3486738.0,968538.0,460102.0,0.0,460102.0,0.48,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,smithfield power partnership,smithfield power partnership,smithfield partnership,axia energy australia pty ltd,gas,57,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
BPIH PTY LIMITED,Brookfield District Energy (GX) Pty Ltd,F,NSW,78204.0,21723.0,11861.0,22049.0,33910.0,0.55,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,brookfield district energy gx pty ltd,brookfield district energy gx,brookfield district gx,bpih pty limited,gas,62,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
CAPE BYRON MANAGEMENT PTY LTD,Broadwater Power Plant,F,NSW,643940.0,178872.0,6032.0,1423.0,7455.0,0.03,On,NEM,Bagasse,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,broadwater power plant,broadwater power plant,broadwater,cape byron management pty ltd,bioenergy,64,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
CAPE BYRON MANAGEMENT PTY LTD,Condong Power Plant,F,NSW,375693.0,104359.0,3007.0,1687.0,4694.0,0.03,On,NEM,Bagasse,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,condong power plant,condong power plant,condong,cape byron management pty ltd,bioenergy,65,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
CWP RENEWABLES PTY LTD,Boco Rock Wind Farm Pty Ltd,F,NSW,751603.0,208779.0,55.0,720.0,775.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,boco rock wind farm pty ltd,boco rock wind farm,boco rock,cwp renewables pty ltd,wind,75,Boco Rock Wind Farm - NSW,WD00NS10,113.18,2630.0,Wind,2014-09-01,2014.0,Unsuspended,0.0,wind,canonical_name_state,matched,Boco Rock Wind Farm - NSW,WD00NS10,113.18,2630.0,Wind,2014-09-01 00:00:00,2014.0,Unsuspended,0.0,wind,True,True,,,,,,,,
CWP RENEWABLES PTY LTD,Taralga Wind Farm Pty Ltd,F,NSW,265563.0,73768.0,20.0,128.0,148.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,taralga wind farm pty ltd,taralga wind farm,taralga,cwp renewables pty ltd,wind,76,Taralga Wind Farm - NSW,WD00NS11,106.8,2580.0,Wind,2014-12-22,2014.0,Unsuspended,0.0,wind,canonical_name_state,matched,Taralga Wind Farm - NSW,WD00NS11,106.8,2580.0,Wind,2014-12-22 00:00:00,2014.0,Unsuspended,0.0,wind,True,True,,,,,,,,
DELTA ELECTRICITY,Brown Mountain Power Station,F,NSW,48431.0,13453.0,6.0,0.0,6.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,brown mountain power station,brown mountain power station,brown mountain,delta electricity,hydro,77,Brown Mountain Power Station,HYMINS02,4.95,2550.0,Hydro,2001-04-01,2001.0,Unsuspended,10636.0,hydro,exact_name_state,matched,Brown Mountain Power Station,HYMINS02,4.95,2550.0,Hydro,2001-04-01 00:00:00,2001.0,Unsuspended,10636.0,hydro,True,True,,,,,,,,
DELTA ELECTRICITY,Colongra PS,F,NSW,258467.0,71796.0,41565.0,3913.0,45478.0,0.58,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,colongra ps,colongra ps,colongra ps,delta electricity,gas,78,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
DELTA ELECTRICITY,Vales Point Power Station,F,NSW,24972675.0,6936854.0,6020229.0,47711.0,6067940.0,0.87,On,NEM,Black Coal,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,vales point power station,vales point power station,vales point,delta electricity,coal,79,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Appin CSM Power Station,F,NSW,588901.0,163584.0,124621.0,85.0,124706.0,0.76,On,NEM,Coal Seam Methane,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,appin csm power station,appin csm power station,appin csm,energy developments limited,coal,100,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,NSW,58449.0,16236.0,931.0,3.0,934.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,eastern creek lfg power station,eastern creek lfg power station,eastern creek lfg,energy developments limited,bioenergy,114,Eastern Creek LFG Power Plant,BEBGNS06,5.04,2766.0,Biomass,2002-05-15,2002.0,Unsuspended,0.0,bioenergy,core_name_state_fuel,matched,Eastern Creek LFG Power Plant,BEBGNS06,5.04,2766.0,Biomass,2002-05-15 00:00:00,2002.0,Unsuspended,0.0,bioenergy,True,True,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Glennies Creek Power Station,F,NSW,326588.0,90719.0,53189.0,5.0,53194.0,0.59,On,NEM,Waste Coal Mine Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,glennies creek power station,glennies creek power station,glennies creek,energy developments limited,bioenergy,118,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,NSW,56366.0,15657.0,991.0,1.0,992.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,jacks gully lfg power station,jacks gully lfg power station,jacks gully lfg,energy developments limited,bioenergy,120,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 1 LFG Power Station,F,NSW,81911.0,22753.0,1447.0,3.0,1450.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,lucas heights 1 lfg power station,lucas heights 1 lfg power station,lucas heights 1 lfg,energy developments limited,bioenergy,124,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Lucas Heights 2 LFG Power Station,F,NSW,363270.0,100908.0,6422.0,3.0,6425.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,lucas heights 2 lfg power station,lucas heights 2 lfg power station,lucas heights 2 lfg,energy developments limited,bioenergy,125,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Tahmoor Power Station,F,NSW,167241.0,46456.0,29870.0,10.0,29880.0,0.64,On,NEM,Waste Coal Mine Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,tahmoor power station,tahmoor power station,tahmoor,energy developments limited,bioenergy,137,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Teralba Power Station,F,NSW,41260.0,11461.0,7316.0,32.0,7348.0,0.64,On,NEM,Coal Seam Methane,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,teralba power station,teralba power station,teralba,energy developments limited,coal,138,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
ENERGY DEVELOPMENTS LIMITED,Tower CSM Power Station,F,NSW,727327.0,202035.0,145425.0,9.0,145434.0,0.72,On,NEM,Coal Seam Methane,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,tower csm power station,tower csm power station,tower csm,energy developments limited,coal,139,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
ENERGYAUSTRALIA HOLDINGS LIMITED,Mt Piper Power Station,F,NSW,22617530.0,6282647.0,5432906.0,35153.0,5468059.0,0.86,On,NEM,Black Coal,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,mount piper power station,mount piper power station,mount piper,energyaustralia holdings limited,coal,149,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
ENERGYAUSTRALIA HOLDINGS LIMITED,Tallawarra Power Station,F,NSW,7496610.0,2082392.0,758611.0,2381.0,760992.0,0.36,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,tallawarra power station,tallawarra power station,tallawarra,energyaustralia holdings limited,gas,150,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
GSP ENERGY PTY LTD,Blayney Wind Farm,F,NSW,72296.0,20082.0,0.0,49.0,49.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,blayney wind farm,blayney wind farm,blayney,gsp energy pty ltd,wind,158,Blayney Wind Farm,WD00NS02,9.9,2799.0,Wind,2001-04-01,2001.0,Unsuspended,0.0,wind,exact_name_state,matched,Blayney Wind Farm,WD00NS02,9.9,2799.0,Wind,2001-04-01 00:00:00,2001.0,Unsuspended,0.0,wind,True,True,,,,,,,,
GSP ENERGY PTY LTD,Burrinjuck Power Station,F,NSW,305092.0,84748.0,0.0,105.0,105.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,burrinjuck power station,burrinjuck power station,burrinjuck,gsp energy pty ltd,hydro,159,Burrinjuck Power Station,HYMINS03,34.0,2582.0,Hydro,2001-04-01,2001.0,Unsuspended,28618.0,hydro,exact_name_state,matched,Burrinjuck Power Station,HYMINS03,34.0,2582.0,Hydro,2001-04-01 00:00:00,2001.0,Unsuspended,28618.0,hydro,True,True,,,,,,,,
GSP ENERGY PTY LTD,Crookwell Wind Farm,F,NSW,28521.0,7923.0,0.0,33.0,33.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,crookwell wind farm,crookwell wind farm,crookwell,gsp energy pty ltd,wind,160,Crookwell Wind Farm,WD00NS03,4.8,2583.0,Wind,2001-04-01,2001.0,Unsuspended,0.0,wind,exact_name_state,matched,Crookwell Wind Farm,WD00NS03,4.8,2583.0,Wind,2001-04-01 00:00:00,2001.0,Unsuspended,0.0,wind,True,True,,,,,,,,
GSP ENERGY PTY LTD,Hume Power Station,F,NSW,755051.0,209736.0,0.0,298.0,298.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,hume power station,hume power station,hume,gsp energy pty ltd,hydro,161,Hume Power Station,HY00NS01,58.0,2640.0,Hydro,2001-04-01,2001.0,Unsuspended,222902.0,hydro,exact_name_state,matched,Hume Power Station,HY00NS01,58.0,2640.0,Hydro,2001-04-01 00:00:00,2001.0,Unsuspended,222902.0,hydro,True,True,,,,,,,,
GSP ENERGY PTY LTD,Keepit Power Station,F,NSW,10253.0,2848.0,0.0,0.0,0.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,keepit power station,keepit power station,keepit,gsp energy pty ltd,hydro,162,Keepit Power Station,HYMINS04,7.2,2340.0,Hydro,2001-04-01,2001.0,Unsuspended,11189.0,hydro,exact_name_state,matched,Keepit Power Station,HYMINS04,7.2,2340.0,Hydro,2001-04-01 00:00:00,2001.0,Unsuspended,11189.0,hydro,True,True,,,,,,,,
HYDRO POWER PTY. LIMITED,Wyangala A,F,NSW,138482.0,38467.0,0.0,0.0,0.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,wyangala a,wyangala a,wyangala a,hydro power pty. limited,hydro,164,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,NSW,28205.0,7835.0,0.0,0.0,0.0,0.0,On,NEM,Hydro,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,the drop hydro,the drop hydro,the drop,ifm renewable energy pty ltd,hydro,204,The Drop,HYMINS09,2.5,3644.0,Hydro,2003-02-18,2003.0,Unsuspended,0.0,hydro,core_name_state_fuel,matched,The Drop,HYMINS09,2.5,3644.0,Hydro,2003-02-18 00:00:00,2003.0,Unsuspended,0.0,hydro,True,True,,,,,,,,
INFIGEN ENERGY LIMITED,Capital East Solar Farm,F,NSW,689.0,191.0,0.0,8.0,8.0,0.0,On,NEM,Solar,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,capital east solar farm,capital east solar farm,capital east,infigen energy limited,solar,208,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,NSW,1184184.0,328940.0,105.0,871.0,976.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,capital wind farm,capital wind farm,capital,infigen energy limited,wind,209,Capital Wind Farm - NSW,WD00NS06,140.7,2621.0,Wind,2009-07-08,2009.0,Unsuspended,0.0,wind,canonical_name_state,matched,Capital Wind Farm - NSW,WD00NS06,140.7,2621.0,Wind,2009-07-08 00:00:00,2009.0,Unsuspended,0.0,wind,True,True,,,,,,,,
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,NSW,462471.0,128464.0,33.0,186.0,219.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,woodlawn wind farm,woodlawn wind farm,woodlawn,infigen energy limited,wind,211,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
LMS ENERGY PTY LTD,Albury Renewable Energy Facility,F,NSW,28779.0,7994.0,435.0,0.0,435.0,0.05,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,albury renewable energy facility,albury renewable energy facility,albury facility,lms energy pty ltd,bioenergy,214,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,NSW,33021.0,9173.0,507.0,0.0,507.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,awaba renewable energy facility,awaba renewable energy facility,awaba facility,lms energy pty ltd,bioenergy,216,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,NSW,229019.0,63616.0,3323.0,0.0,3323.0,0.05,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,eastern creek 2 renewable energy facility,eastern creek 2 renewable energy facility,eastern creek 2 facility,lms energy pty ltd,bioenergy,221,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,NSW,64817.0,18005.0,993.0,0.0,993.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,newcastle renewable energy facility,newcastle renewable energy facility,newcastle facility,lms energy pty ltd,bioenergy,225,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
LMS ENERGY PTY LTD,Tweed Shire Renewable Energy Facility,F,NSW,6224.0,1729.0,106.0,0.0,106.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,tweed shire renewable energy facility,tweed shire renewable energy facility,tweed shire facility,lms energy pty ltd,bioenergy,233,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,NSW,60714.0,16865.0,929.0,0.0,929.0,0.06,On,NEM,Landfill Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,wyong renewable energy facility,wyong renewable energy facility,wyong facility,lms energy pty ltd,bioenergy,236,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
MACQUARIE GENERATION ,Bayswater Power Station,F,NSW,11250900.0,3125250.0,2650584.0,0.0,2650584.0,0.85,On,NEM,Black Coal,"AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year.",2014-15,2014,2015,2015,nger_electricity_2014-15.csv,bayswater power station,bayswater power station,bayswater,macquarie generation,coal,237,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
MACQUARIE GENERATION ,Hunter Valley Gas Turbines,F,NSW,238.0,66.0,102.0,191.0,293.0,1.54,On,NEM,Gas,"AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year.",2014-15,2014,2015,2015,nger_electricity_2014-15.csv,hunter valley gas turbines,hunter valley gas turbines,hunter valley gas turbines,macquarie generation,gas,238,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
MACQUARIE GENERATION ,Liddell Power Station,F,NSW,4182213.0,1161726.0,1061536.0,4426.0,1065962.0,0.91,On,NEM,Black Coal,"AGL Energy Limited purchased Macquarie Generation in September 2014. This includes the Bayswater Power Station, Liddell Power Station and Hunter Valley Gas Turbines facilities.  Macquarie Generation reported these facilities for part of the 2014-15 financial year and AGL Energy Limited reported for the remainder of the year.",2014-15,2014,2015,2015,nger_electricity_2014-15.csv,liddell power station,liddell power station,liddell,macquarie generation,coal,239,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,1295661.0,359906.0,0.0,397.0,397.0,0.0,On,NEM,Wind,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,new gullen range wind farm pty ltd,new gullen range wind farm,new gullen range,new gullen range wind farm  (holding) pty ltd,wind,250,,,,,,,,,,,unmatched,unmatched_eligible,,,,,,,,,,,False,False,,,,,,,,
ORIGIN ENERGY LIMITED,Australand,F,NSW,4031.0,1120.0,668.0,48.0,716.0,0.6,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,australand,australand,australand,origin energy limited,gas,253,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
ORIGIN ENERGY LIMITED,Blackmores,F,NSW,4190.0,1164.0,807.0,50.0,857.0,0.69,On,NEM,Gas,,2014-15,2014,2015,2015,nger_electricity_2014-15.csv,blackmores,blackmores,blackmores,origin energy limited,gas,256,,,,,,,,,,,outside_cer_scope_nonrenewable,outside_cer_scope_nonrenewable,,,,,,,,,,,False,False,,,,,,,,
