accreditation_code,power_station_name,state,installed_capacity,postcode,fuel_source_s,accreditation_start_date,suspension_status,baseline_mwh,comment,accreditation_start_year,power_station_name_key,power_station_name_canonical,power_station_name_core,fuel_family,source_file
SRPVAC40,1 National Circuit Barton - Solar w SGU - ACT,ACT,0.1656,2600,Solar,2023-09-28,Unsuspended,0,,2023,1 national circuit barton solar w sgu act,1 national circuit barton,1 national circuit barton,solar,cer_historical_accredited_power_stations.csv
SRPVAC12,2 Faulding Street Solar - ACT,ACT,0.3469,2609,Solar,2016-09-28,Unsuspended,0,,2016,2 faulding street solar act,2 faulding street solar,2 faulding street,solar,cer_historical_accredited_power_stations.csv
SRPVAC39,3-5 National Circuit Barton - Solar w SGU - ACT,ACT,0.1656,2600,Solar,2023-09-28,Unsuspended,0,,2023,3 5 national circuit barton solar w sgu act,3 5 national circuit barton,3 5 national circuit barton,solar,cer_historical_accredited_power_stations.csv
SRPVAC34,Agile Energy - CromSWG130KW - Solar w SGU - ACT,ACT,0.1303,2900,Solar,2022-10-05,Unsuspended,0,,2022,agile energy cromswg130kw solar w sgu act,agile energy cromswg130kw,agile cromswg130kw,solar,cer_historical_accredited_power_stations.csv
SRPVAC33,Agile Energy Next Gen - Solar w/ SGU - ACT,ACT,0.2466,2602,Solar,2023-04-27,Unsuspended,0,,2023,agile energy next gen solar w sgu act,agile energy next gen,agile next gen,solar,cer_historical_accredited_power_stations.csv
SRPVAC35,Agile Energy-CromNTH160KW-Solar w SGU-ACT,ACT,0.1601,2602,Solar,2022-10-05,Unsuspended,0,,2022,agile energy cromnth160kw solar w sgu act,agile energy cromnth160kw solar w sgu,agile cromnth160kw w sgu,solar,cer_historical_accredited_power_stations.csv
SRPVAC08,Amaroo Solar - ACT,ACT,0.6,2914,Solar,2015-12-23,Unsuspended,0,,2015,amaroo solar act,amaroo solar,amaroo,solar,cer_historical_accredited_power_stations.csv
SRPVAC43,BF HUME - SOLAR - ACT,ACT,0.2521,2620,Solar,2024-07-31,Unsuspended,0,,2024,bf hume solar act,bf hume,bf hume,solar,cer_historical_accredited_power_stations.csv
SRPVAC41,BIG W Canberra Airport 191 - Solar - ACT,ACT,0.1998,2609,Solar,2023-12-07,Unsuspended,0,,2023,big w canberra airport 191 solar act,big w canberra airport 191,big w canberra airport 191,solar,cer_historical_accredited_power_stations.csv
BEBGAC01,Belconnen LFG Power Plant,ACT,1.0,2616,Biomass,2001-04-01,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,2001,belconnen lfg power plant,belconnen lfg power plant,belconnen lfg,bioenergy,cer_historical_accredited_power_stations.csv
SRPVAC45,Belconnen Market - Solar w SGU - ACT,ACT,0.5396,2617,Solar,2024-08-20,Unsuspended,0,,2024,belconnen market solar w sgu act,belconnen market,belconnen market,solar,cer_historical_accredited_power_stations.csv
SRPVAC25,Bunnings Belconnen - Solar - ACT,ACT,0.3299,2617,Solar,2020-08-25,Unsuspended,0,,2020,bunnings belconnen solar act,bunnings belconnen,bunnings belconnen,solar,cer_historical_accredited_power_stations.csv
SRPVAC27,Bunnings Gungahlin - Solar - ACT,ACT,0.4802,2912,Solar,2020-10-27,Unsuspended,0,,2020,bunnings gungahlin solar act,bunnings gungahlin,bunnings gungahlin,solar,cer_historical_accredited_power_stations.csv
SRPVAC20,CISAC Bruce ACT - Solar,ACT,0.2494,2617,Solar,2019-12-09,Unsuspended,0,,2019,cisac bruce act solar,cisac bruce,cisac bruce,solar,cer_historical_accredited_power_stations.csv
SRPVAC44,CSIRO - Solar - ACT,ACT,1.2689,2620,Solar,2024-08-20,Unsuspended,0,,2024,csiro solar act,csiro,csiro,solar,cer_historical_accredited_power_stations.csv
SRPVAC13,Canberra Hospital Building 26 Solar ACT,ACT,0.48,2605,Solar,2016-11-23,Unsuspended,0,,2016,canberra hospital building 26 solar act,canberra hospital building 26 solar,canberra hospital building 26,solar,cer_historical_accredited_power_stations.csv
SRPVAC24,Canberra Raiders Sports Club - Solar - ACT,ACT,0.2973,2912,Solar,2022-06-06,Unsuspended,0,,2022,canberra raiders sports club solar act,canberra raiders sports club,canberra raiders sports club,solar,cer_historical_accredited_power_stations.csv
SRPVAC38,Civic Quarter 2 - Solar - ACT,ACT,0.192,2601,Solar,2023-07-06,Unsuspended,0,,2023,civic quarter 2 solar act,civic quarter 2,civic quarter 2,solar,cer_historical_accredited_power_stations.csv
SRPVAC03,Gladstone Street Solar - ACT,ACT,0.1395,2609,Solar,2013-08-22,Unsuspended,0,,2013,gladstone street solar act,gladstone street solar,gladstone street,solar,cer_historical_accredited_power_stations.csv
SRPVAC37,Gungahlin Lakes Golf & Community Club - Solar - ACT,ACT,0.3371,2913,Solar,2023-05-12,Unsuspended,0,,2023,gungahlin lakes golf and community club solar act,gungahlin lakes golf and community club,gungahlin lakes golf and community club,solar,cer_historical_accredited_power_stations.csv
SRPVAC09,Hedley Beare Centre -Solar - ACT,ACT,0.176,2611,Solar,2015-12-17,Unsuspended,0,,2015,hedley beare centre solar act,hedley beare centre solar,hedley beare centre,solar,cer_historical_accredited_power_stations.csv
SRPVAC04,Herzogsteel Solar - Fyshwick - ACT,ACT,0.199,2609,Solar,2013-09-20,Unsuspended,0,,2013,herzogsteel solar fyshwick act,herzogsteel solar fyshwick,herzogsteel fyshwick,solar,cer_historical_accredited_power_stations.csv
SRPVAC17,IKEA Canberra Solar - ACT,ACT,0.5002,2609,Solar,2018-04-19,Unsuspended,0,,2018,ikea canberra solar act,ikea canberra solar,ikea canberra,solar,cer_historical_accredited_power_stations.csv
SRPVAC19,"ISPT Hibberson St, Gungahlin - Solar - ACT",ACT,0.3499,2912,Solar,2019-11-28,Unsuspended,0,,2019,ispt hibberson st gungahlin solar act,ispt hibberson st gungahlin,ispt hibberson st gungahlin,solar,cer_historical_accredited_power_stations.csv
SRPVAC21,Icon Water Lower Molonglo - Solar - ACT,ACT,1.092,2617,Solar,2020-02-06,Suspended,0,,2020,icon water lower molonglo solar act,icon water lower molonglo,icon water lower molonglo,solar,cer_historical_accredited_power_stations.csv
SRPVAC22,Icon Water Stromlo - Solar - ACT,ACT,0.221,2611,Solar,2020-02-06,Unsuspended,0,,2020,icon water stromlo solar act,icon water stromlo,icon water stromlo,solar,cer_historical_accredited_power_stations.csv
SRPVAC02,Kamberra Winery Solar - ACT,ACT,0.146,2602,Solar,2013-06-12,Unsuspended,0,,2013,kamberra winery solar act,kamberra winery solar,kamberra winery,solar,cer_historical_accredited_power_stations.csv
SRPVAC28,Kingsford Smith School - Solar w SGU - ACT,ACT,0.2391,2615,Solar,2025-11-03,Unsuspended,0,,2025,kingsford smith school solar w sgu act,kingsford smith school,kingsford smith school,solar,cer_historical_accredited_power_stations.csv
SRPVAC26,LDK Greenway Pty Ltd - Solar - ACT,ACT,0.6915,2900,Solar,2020-10-06,Unsuspended,0,,2020,ldk greenway pty ltd solar act,ldk greenway,ldk greenway,solar,cer_historical_accredited_power_stations.csv
SRPVAC31,Majura Valley Community Solar Farm - Solar - ACT,ACT,1.2717,2609,Solar,2021-07-20,Unsuspended,0,,2021,majura valley community solar farm solar act,majura valley community solar farm,majura valley community,solar,cer_historical_accredited_power_stations.csv
SRPVAC32,Mitch Arch - Solar wSGU - ACT,ACT,0.1995,2911,Solar,2021-12-16,Unsuspended,0,,2021,mitch arch solar wsgu act,mitch arch,mitch arch,solar,cer_historical_accredited_power_stations.csv
SRPVAC23,Molonglo - HNCD - Solar - ACT,ACT,0.2726,2609,Solar,2020-03-11,Suspended,0,,2020,molonglo hncd solar act,molonglo hncd,molonglo hncd,solar,cer_historical_accredited_power_stations.csv
SRPVAC11,Mount Majura Solar Farm - ACT,ACT,2.3,2609,Solar,2016-09-08,Unsuspended,0,,2016,mount majura solar farm act,mount majura solar farm,mount majura,solar,cer_historical_accredited_power_stations.csv
BEBGAC03,Mugga Lane - LFG - ACT,ACT,6.39,2609,Biomass,2020-06-11,Unsuspended,0,,2020,mugga lane lfg act,mugga lane lfg,mugga lane lfg,bioenergy,cer_historical_accredited_power_stations.csv
BEBGAC02,Mugga Lane LFG Power Plant,ACT,4.12,2620,Biomass,2001-04-01,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,2001,mugga lane lfg power plant,mugga lane lfg power plant,mugga lane lfg,bioenergy,cer_historical_accredited_power_stations.csv
SRPVAC14,Mugga Lane Solar Park - ACT,ACT,12.85,2904,Solar,2016-12-08,Unsuspended,0,,2016,mugga lane solar park act,mugga lane solar park,mugga lane park,solar,cer_historical_accredited_power_stations.csv
SRPVAC07,Nishi Solar - ACT,ACT,0.4022,2601,Solar,2014-05-28,Unsuspended,0,,2014,nishi solar act,nishi solar,nishi,solar,cer_historical_accredited_power_stations.csv
SRPVAC01,Rooftop PV,ACT,0.0029,2607,Solar,2001-04-01,Suspended,0,,2001,rooftop pv,rooftop pv,rooftop pv,solar,cer_historical_accredited_power_stations.csv
SRPVAC10,Royal Australian Mint - Solar - ACT,ACT,0.3629,2600,Solar,2016-03-21,Unsuspended,0,,2016,royal australian mint solar act,royal australian mint,royal australian mint,solar,cer_historical_accredited_power_stations.csv
SRPVAC06,Royalla Solar Farm - ACT,ACT,20.0,2901,Solar,2014-05-01,Unsuspended,0,,2014,royalla solar farm act,royalla solar farm,royalla,solar,cer_historical_accredited_power_stations.csv
SRPVAC16,SA Hughes Solar ACT,ACT,0.0999,2605,Solar,2018-03-16,Unsuspended,0,,2018,sa hughes solar act,hughes solar,hughes,solar,cer_historical_accredited_power_stations.csv
HYMIAC01,Stromlo - Hydro - ACT,ACT,0.63,2611,Hydro,2002-03-26,Unsuspended,0,,2002,stromlo hydro act,stromlo,stromlo,hydro,cer_historical_accredited_power_stations.csv
SRPVAC05,Symonston Solar - ACT,ACT,0.144,2609,Solar,2014-02-18,Unsuspended,0,,2014,symonston solar act,symonston solar,symonston,solar,cer_historical_accredited_power_stations.csv
SRPVAC18,The Canberra Burns Club Solar - ACT,ACT,0.2427,2902,Solar,2018-05-08,Unsuspended,0,,2018,the canberra burns club solar act,the canberra burns club solar,the canberra burns club,solar,cer_historical_accredited_power_stations.csv
SRPVAC30,Warrigal Stirling - Solar w SGU - ACT,ACT,0.1994,2611,Solar,2025-11-11,Unsuspended,0,,2025,warrigal stirling solar w sgu act,warrigal stirling,warrigal stirling,solar,cer_historical_accredited_power_stations.csv
SRPVAC15,Williamsdale Solar Farm ACT,ACT,11.1375,2901,Solar,2016-12-19,Unsuspended,0,,2016,williamsdale solar farm act,williamsdale solar farm,williamsdale,solar,cer_historical_accredited_power_stations.csv
SRPVAC36,Woolworths Canberra Airport 1419 - Solar - ACT,ACT,0.3096,2609,Solar,2023-03-22,Unsuspended,0,,2023,woolworths canberra airport 1419 solar act,woolworths canberra airport 1419,woolworths canberra airport 1419,solar,cer_historical_accredited_power_stations.csv
SRPVAC29,Woolworths Dickson 1073 - Solar - ACT,ACT,0.1865,2602,Solar,2021-04-20,Unsuspended,0,,2021,woolworths dickson 1073 solar act,woolworths dickson 1073,woolworths dickson 1073,solar,cer_historical_accredited_power_stations.csv
SRPVNSJ9,100 Harris Street Pyrmont - Solar - NSW,NSW,0.1999,2009,Solar,2019-07-22,Unsuspended,0,,2019,100 harris street pyrmont solar nsw,100 harris street pyrmont,100 harris street pyrmont,solar,cer_historical_accredited_power_stations.csv
SRPXNSV0,139 Hughes Street - Solar - NSW,NSW,0.2926,3644,Solar,2024-04-15,Unsuspended,0,,2024,139 hughes street solar nsw,139 hughes street,139 hughes street,solar,cer_historical_accredited_power_stations.csv
SRPXNSK7,18 Loyalty Road - Solar - NSW,NSW,0.1663,2151,Solar,2023-08-02,Unsuspended,0,,2023,18 loyalty road solar nsw,18 loyalty road,18 loyalty road,solar,cer_historical_accredited_power_stations.csv
SRPXNSX2,200B-Solar-NSW,NSW,2.0945,2200,Solar,2024-05-31,Unsuspended,0,,2024,200b solar nsw,200b solar,200b,solar,cer_historical_accredited_power_stations.csv
SRPYNSI8,203ABC_BA - Solar - NSW,NSW,0.7848,2200,Solar,2025-10-24,Unsuspended,0,,2025,203abc ba solar nsw,203abc ba,203abc ba,solar,cer_historical_accredited_power_stations.csv
SRPXNSP6,315 Parramatta Road- Solar - NSW,NSW,0.1502,2144,Solar,2023-10-30,Unsuspended,0,,2023,315 parramatta road solar nsw,315 parramatta road solar,315 parramatta road,solar,cer_historical_accredited_power_stations.csv
SRPYNSH2,343 Milperra Rd - Solar - NSW,NSW,0.436,2200,Solar,2025-09-18,Unsuspended,0,,2025,343 milperra rd solar nsw,343 milperra rd,343 milperra rd,solar,cer_historical_accredited_power_stations.csv
SRPXNST3,"358 Chisholm Rd, Auburn - Solar w SGU - NSW",NSW,0.2042,2144,Solar,2024-01-29,Unsuspended,0,,2024,358 chisholm rd auburn solar w sgu nsw,358 chisholm rd auburn,358 chisholm rd auburn,solar,cer_historical_accredited_power_stations.csv
SRPYNSH3,430 Marion St - Solar - NSW,NSW,0.9635,2200,Solar,2025-09-18,Unsuspended,0,,2025,430 marion st solar nsw,430 marion st,430 marion st,solar,cer_historical_accredited_power_stations.csv
SRPYNS44,AFS Cadell Balranald - Solar - NSW,NSW,4.8265,2715,Solar,2024-12-02,Unsuspended,0,,2024,afs cadell balranald solar nsw,afs cadell balranald,afs cadell balranald,solar,cer_historical_accredited_power_stations.csv
BEBGNS30,AGLSITA1- LFG - NSW,NSW,2.8,2178,Biomass,2016-12-05,Unsuspended,0,,2016,aglsita1 lfg nsw,aglsita1 lfg,aglsita1 lfg,bioenergy,cer_historical_accredited_power_stations.csv
SRPXNSY6,AGRIGHT GRIFFITH - Solar - NSW,NSW,3.9798,2652,Solar,2024-07-25,Unsuspended,0,,2024,agright griffith solar nsw,agright griffith,agright griffith,solar,cer_historical_accredited_power_stations.csv
SRPVNSA3,AIT Gunnedah - Solar - NSW,NSW,0.504,2380,Solar,2018-04-03,Unsuspended,0,,2018,ait gunnedah solar nsw,ait gunnedah,ait gunnedah,solar,cer_historical_accredited_power_stations.csv
SRPXNST5,AMYSON - Solar w SGU - NSW,NSW,0.2001,2164,Solar,2024-02-24,Unsuspended,0,,2024,amyson solar w sgu nsw,amyson,amyson,solar,cer_historical_accredited_power_stations.csv
SRPXNSI5,AU058 - Bungaribee Industrial Estate - Metcash - Solar - NSW,NSW,0.782,2766,Solar,2023-06-08,Unsuspended,0,,2023,au058 bungaribee industrial estate metcash solar nsw,au058 bungaribee industrial estate metcash,au058 bungaribee industrial estate metcash,solar,cer_historical_accredited_power_stations.csv
SRPYNS94,AU082 Prestons 30 Yarrawa Street - Solar - NSW,NSW,0.6996,2170,Solar,2025-04-11,Unsuspended,0,,2025,au082 prestons 30 yarrawa street solar nsw,au082 prestons 30 yarrawa street,au082 prestons 30 yarrawa street,solar,cer_historical_accredited_power_stations.csv
SRPXNSO6,AU144/178 Oakdale West 3B1 - Solar - NSW,NSW,0.2501,2178,Solar,2023-10-16,Unsuspended,0,,2023,au144 178 oakdale west 3b1 solar nsw,au144 178 oakdale west 3b1,au144 178 oakdale west 3b1,solar,cer_historical_accredited_power_stations.csv
SRPXNSO5,AU144/178 Oakdale West 3B2 - Solar - NSW,NSW,0.2501,2178,Solar,2023-10-16,Unsuspended,0,,2023,au144 178 oakdale west 3b2 solar nsw,au144 178 oakdale west 3b2,au144 178 oakdale west 3b2,solar,cer_historical_accredited_power_stations.csv
SRPXNSM1,AU144/179 Oakdale West 4E (Woolworths) - Solar - NSW,NSW,0.7498,2178,Solar,2023-09-13,Unsuspended,0,,2023,au144 179 oakdale west 4e woolworths solar nsw,au144 179 oakdale west 4e woolworths,au144 179 oakdale west 4e woolworths,solar,cer_historical_accredited_power_stations.csv
SRPXNSL3,AU146 Cumberland Industrial Estate - Solar w SGU - NSW,NSW,0.1997,2164,Solar,2023-09-13,Unsuspended,0,,2023,au146 cumberland industrial estate solar w sgu nsw,au146 cumberland industrial estate,au146 cumberland industrial estate,solar,cer_historical_accredited_power_stations.csv
SRPXNSJ2,AU146 Cumberlands 146 Warren Rd - Solar - NSW,NSW,0.1991,2164,Solar,2023-06-05,Unsuspended,0,,2023,au146 cumberlands 146 warren rd solar nsw,au146 cumberlands 146 warren rd,au146 cumberlands 146 warren rd,solar,cer_historical_accredited_power_stations.csv
SRPXNSQ5,AU169 Aust Post Oakdale West 2A - Solar - NSW,NSW,0.75,2178,Solar,2023-11-28,Unsuspended,0,,2023,au169 aust post oakdale west 2a solar nsw,au169 aust post oakdale west 2a,au169 aust post oakdale west 2a,solar,cer_historical_accredited_power_stations.csv
SRPXNSQ4,AU169 GOOD107 Goodman Oakdale West 2A - Solar - NSW,NSW,0.7504,2178,Solar,2023-11-28,Unsuspended,0,,2023,au169 good107 goodman oakdale west 2a solar nsw,au169 good107 goodman oakdale west 2a,au169 good107 goodman oakdale west 2a,solar,cer_historical_accredited_power_stations.csv
SRPXNSG1,AU172 Oakdale West WH3A - Solar - NSW,NSW,0.2502,2178,Solar,2023-03-16,Unsuspended,0,,2023,au172 oakdale west wh3a solar nsw,au172 oakdale west wh3a,au172 oakdale west wh3a,solar,cer_historical_accredited_power_stations.csv
SRPYNS05,AU186 Oakdale West 5A - Solar w SGU- NSW,NSW,0.6505,2178,Solar,2024-09-08,Unsuspended,0,,2024,au186 oakdale west 5a solar w sgu nsw,au186 oakdale west 5a,au186 oakdale west 5a,solar,cer_historical_accredited_power_stations.csv
SRPYNS53,AU186 Oakdale West 5B - Solar w SGU - NSW,NSW,0.15,2178,Solar,2024-12-16,Unsuspended,0,,2024,au186 oakdale west 5b solar w sgu nsw,au186 oakdale west 5b,au186 oakdale west 5b,solar,cer_historical_accredited_power_stations.csv
SRPYNSF8,AU187 Oakdale West 4A+B - Solar - NSW,NSW,0.5909,2178,Solar,2025-07-17,Unsuspended,0,,2025,au187 oakdale west 4a b solar nsw,au187 oakdale west 4a b,au187 oakdale west 4a b,solar,cer_historical_accredited_power_stations.csv
SRPYNSF9,AU189 Oakdale West 4C+D - Solar - NSW,NSW,0.6807,2178,Solar,2025-07-17,Unsuspended,0,,2025,au189 oakdale west 4c d solar nsw,au189 oakdale west 4c d,au189 oakdale west 4c d,solar,cer_historical_accredited_power_stations.csv
SRPYNSA2,AU254 M7 BH - Solar - NSW,NSW,0.4378,2766,Solar,2025-05-09,Unsuspended,0,,2025,au254 m7 bh solar nsw,au254 m7 bh,au254 m7 bh,solar,cer_historical_accredited_power_stations.csv
SRPYNS91,AU279 Port Botany TGE - Solar - NSW,NSW,0.2059,2019,Solar,2025-05-23,Unsuspended,0,,2025,au279 port botany tge solar nsw,au279 port botany tge,au279 port botany tge,solar,cer_historical_accredited_power_stations.csv
SRPXNS34,AU470 Airgate 383 Coward St - Solar - NSW,NSW,0.1596,2020,Solar,2021-08-25,Unsuspended,0,,2021,au470 airgate 383 coward st solar nsw,au470 airgate 383 coward st,au470 airgate 383 coward st,solar,cer_historical_accredited_power_stations.csv
SRPXNSC5,AU491 Smithfield DC WH1 - Solar - NSW,NSW,0.5949,2164,Solar,2022-12-13,Unsuspended,0,,2022,au491 smithfield dc wh1 solar nsw,au491 smithfield dc wh1,au491 smithfield dc wh1,solar,cer_historical_accredited_power_stations.csv
SRPXNSC6,AU491 Smithfield DC WH2 - Solar - NSW,NSW,0.549,2164,Solar,2022-12-13,Unsuspended,0,,2022,au491 smithfield dc wh2 solar nsw,au491 smithfield dc wh2,au491 smithfield dc wh2,solar,cer_historical_accredited_power_stations.csv
SRPXNSG8,AU525 Oakdale Industrial Estate WH1&2 - Solar - NSW,NSW,0.6398,2178,Solar,2023-04-18,Unsuspended,0,,2023,au525 oakdale industrial estate wh1 and 2 solar nsw,au525 oakdale industrial estate wh1 and 2,au525 oakdale industrial estate wh1 and 2,solar,cer_historical_accredited_power_stations.csv
SRPXNS31,AU525 Oakdale South 1/6 Aristida - Solar wSGU - NSW,NSW,0.3996,2178,Solar,2021-08-04,Unsuspended,0,,2021,au525 oakdale south 1 6 aristida solar wsgu nsw,au525 oakdale south 1 6 aristida,au525 oakdale south 1 6 aristida,solar,cer_historical_accredited_power_stations.csv
SRPXNS32,AU525 Oakdale South 2/6 Aristida - Solar wSGU - NSW,NSW,0.3996,2178,Solar,2021-08-04,Unsuspended,0,,2021,au525 oakdale south 2 6 aristida solar wsgu nsw,au525 oakdale south 2 6 aristida,au525 oakdale south 2 6 aristida,solar,cer_historical_accredited_power_stations.csv
SRPXNSP4,AU525 Oakdale South 2B1 - Solar - NSW,NSW,0.3508,2178,Solar,2023-10-24,Unsuspended,0,,2023,au525 oakdale south 2b1 solar nsw,au525 oakdale south 2b1,au525 oakdale south 2b1,solar,cer_historical_accredited_power_stations.csv
SRPXNSI6,AU525 Oakdale South 2B2 - Solar - NSW,NSW,0.3508,2178,Solar,2023-06-08,Unsuspended,0,,2023,au525 oakdale south 2b2 solar nsw,au525 oakdale south 2b2,au525 oakdale south 2b2,solar,cer_historical_accredited_power_stations.csv
SRPXNSK6,AU543 Erskine Park Bdg A 33-83 Quarry - Solar - NSW,NSW,0.1752,2759,Solar,2023-07-25,Unsuspended,0,,2023,au543 erskine park bdg a 33 83 quarry solar nsw,au543 erskine park bdg a 33 83 quarry,au543 erskine park bdg a 33 83 quarry,solar,cer_historical_accredited_power_stations.csv
SRPXNSL0,AU543 Erskine Park Bdg E 33-83 Quarry - Solar - NSW,NSW,0.2494,2759,Solar,2023-08-02,Unsuspended,0,,2023,au543 erskine park bdg e 33 83 quarry solar nsw,au543 erskine park bdg e 33 83 quarry,au543 erskine park bdg e 33 83 quarry,solar,cer_historical_accredited_power_stations.csv
SRPXNSK5,AU543 Erskine Park Building A 15-23 Quarry - Solar w SGU - NSW,NSW,0.313,2759,Solar,2023-07-25,Unsuspended,0,,2023,au543 erskine park building a 15 23 quarry solar w sgu nsw,au543 erskine park building a 15 23 quarry,au543 erskine park building a 15 23 quarry,solar,cer_historical_accredited_power_stations.csv
SRPXNSK9,AU543 Pack Centre B 15-23 Quarry Rd - Solar - NSW,NSW,0.2691,2759,Solar,2023-08-02,Unsuspended,0,,2023,au543 pack centre b 15 23 quarry rd solar nsw,au543 pack centre b 15 23 quarry rd,au543 pack centre b 15 23 quarry rd,solar,cer_historical_accredited_power_stations.csv
SRPYNS62,AU544 Interlink Estate - Solar - NSW,NSW,0.5402,2759,Solar,2024-12-29,Unsuspended,0,,2024,au544 interlink estate solar nsw,au544 interlink estate,au544 interlink estate,solar,cer_historical_accredited_power_stations.csv
SRPYNSE1,AU548 Interlink - Solar w SGU - NSW,NSW,0.2021,2759,Solar,2025-07-18,Unsuspended,0,,2025,au548 interlink solar w sgu nsw,au548 interlink,au548 interlink,solar,cer_historical_accredited_power_stations.csv
SRPXNSC4,AU568 Oakdale Industrial Estate Masonry Plant - Solar with SGU - NSW,NSW,0.1698,2175,Solar,2022-12-12,Unsuspended,0,,2022,au568 oakdale industrial estate masonry plant solar with sgu nsw,au568 oakdale industrial estate masonry plant,au568 oakdale industrial estate masonry,solar,cer_historical_accredited_power_stations.csv
SRPXNSC3,AU568 Oakdale Industrial Estate WH4 - Solar with SGU - NSW,NSW,0.148,2175,Solar,2022-12-12,Unsuspended,0,,2022,au568 oakdale industrial estate wh4 solar with sgu nsw,au568 oakdale industrial estate wh4,au568 oakdale industrial estate wh4,solar,cer_historical_accredited_power_stations.csv
SRPXNSL8,AU643 The Iconic 19 Berry St - Solar - NSW,NSW,0.2889,2142,Solar,2023-08-23,Unsuspended,0,,2023,au643 the iconic 19 berry st solar nsw,au643 the iconic 19 berry st,au643 the iconic 19 berry st,solar,cer_historical_accredited_power_stations.csv
SRPYNS02,AU723 Goodman Amazon Centennary DC - Solarw SGU - NSW,NSW,0.41,2170,Solar,2024-09-08,Unsuspended,0,,2024,au723 goodman amazon centennary dc solarw sgu nsw,au723 goodman amazon centennary dc,au723 goodman amazon centennary dc,solar,cer_historical_accredited_power_stations.csv
SRPXNSS2,AU865 PortAir Industrial Estate - Solar - NSW,NSW,0.1886,2019,Solar,2024-01-15,Unsuspended,0,,2024,au865 portair industrial estate solar nsw,au865 portair industrial estate,au865 portair industrial estate,solar,cer_historical_accredited_power_stations.csv
SRPXNSJ9,AU870 17-19B Interchange Drive Eastern Creek - Solar w SGU - NSW,NSW,0.7482,2766,Solar,2023-07-11,Unsuspended,0,,2023,au870 17 19b interchange drive eastern creek solar w sgu nsw,au870 17 19b interchange drive eastern creek,au870 17 19b interchange drive eastern creek,solar,cer_historical_accredited_power_stations.csv
SRPXNS47,AU870 Interchange Park 13 Interchange - Solar - NSW,NSW,0.2501,2766,Solar,2021-10-28,Unsuspended,0,,2021,au870 interchange park 13 interchange solar nsw,au870 interchange park 13 interchange,au870 interchange park 13 interchange,solar,cer_historical_accredited_power_stations.csv
SRPXNSY2,AU870 Interchange Park 8 Interchange Dr - Solar w SGU - NSW,NSW,0.4853,2766,Solar,2024-07-22,Unsuspended,0,,2024,au870 interchange park 8 interchange dr solar w sgu nsw,au870 interchange park 8 interchange dr,au870 interchange park 8 interchange dr,solar,cer_historical_accredited_power_stations.csv
SRPXNS49,AU870 Interchange Pk 22 Wonderland - Solar - NSW,NSW,0.2997,2766,Solar,2022-01-12,Unsuspended,0,,2022,au870 interchange pk 22 wonderland solar nsw,au870 interchange pk 22 wonderland,au870 interchange pk 22 wonderland,solar,cer_historical_accredited_power_stations.csv
SRPYNS26,AU870 Interchange Pk 27 Interchange - Solar - NSW,NSW,0.572,2766,Solar,2024-10-31,Unsuspended,0,,2024,au870 interchange pk 27 interchange solar nsw,au870 interchange pk 27 interchange,au870 interchange pk 27 interchange,solar,cer_historical_accredited_power_stations.csv
SRPXNSS3,AU870 Interchange Pk 7 Interchange - Solar w SGU - NSW,NSW,0.6343,2766,Solar,2024-01-15,Unsuspended,0,,2024,au870 interchange pk 7 interchange solar w sgu nsw,au870 interchange pk 7 interchange,au870 interchange pk 7 interchange,solar,cer_historical_accredited_power_stations.csv
SRPXNSN5,AU875 Moorebank 4 Secombe PL - Solar - NSW,NSW,0.2403,2170,Solar,2023-09-25,Unsuspended,0,,2023,au875 moorebank 4 secombe pl solar nsw,au875 moorebank 4 secombe pl,au875 moorebank 4 secombe pl,solar,cer_historical_accredited_power_stations.csv
SRPXNSE0,AU875 Moorebank 5 Secombe Pl - Solar w SGU - NSW,NSW,0.2255,2170,Solar,2024-11-06,Unsuspended,0,,2024,au875 moorebank 5 secombe pl solar w sgu nsw,au875 moorebank 5 secombe pl,au875 moorebank 5 secombe pl,solar,cer_historical_accredited_power_stations.csv
SRPYNS74,AU876 Rosehill Industrial Estate - Buildings C & D - Solar w SGU - NSW,NSW,0.764,2142,Solar,2025-02-14,Unsuspended,0,,2025,au876 rosehill industrial estate buildings c and d solar w sgu nsw,au876 rosehill industrial estate buildings c and d,au876 rosehill industrial estate buildings c and d,solar,cer_historical_accredited_power_stations.csv
SRPVNS89,AZ Macquarie Park - Solar - NSW,NSW,0.3564,2113,Solar,2018-01-10,Unsuspended,0,,2018,az macquarie park solar nsw,az macquarie park,az macquarie park,solar,cer_historical_accredited_power_stations.csv
SRPVNS23,Ace Gutters Solar Mortdale - NSW,NSW,0.225,2223,Solar,2014-01-24,Unsuspended,0,,2014,ace gutters solar mortdale nsw,ace gutters solar mortdale,ace gutters mortdale,solar,cer_historical_accredited_power_stations.csv
SRPVNSO4,Actron Air Marsden Park - Solar - NSW,NSW,0.3898,2765,Solar,2020-02-05,Unsuspended,0,,2020,actron air marsden park solar nsw,actron air marsden park,actron air marsden park,solar,cer_historical_accredited_power_stations.csv
