accreditation_code,power_station_name,state,installed_capacity,postcode,fuel_source_s,accreditation_start_date,suspension_status,baseline_mwh,comment,accreditation_start_year,power_station_name_key,power_station_name_canonical,power_station_name_core,fuel_family,source_file
SRPXVCC5,OLERS-Village Dairy-Solar-VIC,VIC,0.3,3844,Solar,2023-05-01,Unsuspended,0,,2023,olers village dairy solar vic,olers village dairy solar,olers village dairy,solar,cer_historical_accredited_power_stations.csv
WD00VC13,Oaklands Hill Wind Farm - VIC,VIC,67.2,3293,Wind,2011-08-19,Unsuspended,0,,2011,oaklands hill wind farm vic,oaklands hill wind farm,oaklands hill,wind,cer_historical_accredited_power_stations.csv
HYMIVC07,Olinda Mini Hydro - VIC,VIC,1.0,3140,Hydro,2010-02-01,Unsuspended,0,,2010,olinda mini hydro vic,olinda mini hydro,olinda mini,hydro,cer_historical_accredited_power_stations.csv
SRPVVCA6,Olivet Aged Care Ringwood Solar System - VIC,VIC,0.0998,3134,Solar,2018-05-18,Unsuspended,0,,2018,olivet aged care ringwood solar system vic,olivet aged care ringwood solar system,olivet aged care ringwood system,solar,cer_historical_accredited_power_stations.csv
SRPVVCU4,Onluckdonvale - Solar w SGU - VIC,VIC,0.2536,3111,Solar,2020-10-23,Unsuspended,0,,2020,onluckdonvale solar w sgu vic,onluckdonvale,onluckdonvale,solar,cer_historical_accredited_power_stations.csv
SRPVVCO7,Opal Ringwood - Solar - VIC,VIC,0.1742,3134,Solar,2019-11-25,Unsuspended,0,,2019,opal ringwood solar vic,opal ringwood,opal ringwood,solar,cer_historical_accredited_power_stations.csv
SRPVVCX9,Orbost Regional Health - Solar - Vic,VIC,0.15,3888,Solar,2020-09-08,Unsuspended,0,,2020,orbost regional health solar vic,orbost regional health,orbost regional health,solar,cer_historical_accredited_power_stations.csv
SRPXVCB0,Orchid 127 Dandenong South - Solar w SGU - VIC,VIC,0.2263,3175,Solar,2022-12-02,Unsuspended,0,,2022,orchid 127 dandenong south solar w sgu vic,orchid 127 dandenong south,orchid 127 dandenong south,solar,cer_historical_accredited_power_stations.csv
SRPXVCO6,Origin PPA 88 Sydney Rd Benalla - Solar - VIC,VIC,0.4202,3672,Solar,2024-10-16,Unsuspended,0,,2024,origin ppa 88 sydney rd benalla solar vic,origin ppa 88 sydney rd benalla,origin ppa 88 sydney rd benalla,solar,cer_historical_accredited_power_stations.csv
SRPXVCL5,Ouyen Rural WPS 96018 - Solar w SGU - VIC,VIC,0.1997,3490,Solar,2024-04-24,Unsuspended,0,,2024,ouyen rural wps 96018 solar w sgu vic,ouyen rural wps 96018,ouyen rural wps 96018,solar,cer_historical_accredited_power_stations.csv
SRPXVCC0,Ovida Rocky Lamattina WEMEN- Solar - VIC,VIC,0.5,3549,Solar,2021-01-21,Unsuspended,0,,2021,ovida rocky lamattina wemen solar vic,ovida rocky lamattina wemen solar,ovida rocky lamattina wemen,solar,cer_historical_accredited_power_stations.csv
SRPVVC11,Oxley Stadium and College Solar - VIC,VIC,0.4,3116,Solar,2014-05-20,Unsuspended,0,,2014,oxley stadium and college solar vic,oxley stadium and college solar,oxley stadium and college,solar,cer_historical_accredited_power_stations.csv
SRPXVC65,Ozito efm frasers Dandenong South No.1 - Solar PV - VIC,VIC,0.5013,3175,Solar,2021-12-16,Unsuspended,0,,2021,ozito efm frasers dandenong south no 1 solar pv vic,ozito efm frasers dandenong south no 1,ozito efm frasers dandenong south no 1,solar,cer_historical_accredited_power_stations.csv
SRPXVCB3,PFIZER MELBOURNE B7 - SOLAR - VIC,VIC,0.1995,3170,Solar,2023-01-11,Unsuspended,0,,2023,pfizer melbourne b7 solar vic,pfizer melbourne b7,pfizer melbourne b7,solar,cer_historical_accredited_power_stations.csv
SRPXVCB4,PFIZER MELBOURNE BUILDING 6 - SOLAR - VIC,VIC,0.2752,3170,Solar,2023-01-30,Unsuspended,0,,2023,pfizer melbourne building 6 solar vic,pfizer melbourne building 6,pfizer melbourne building 6,solar,cer_historical_accredited_power_stations.csv
SRPXVCR1,PLASTIC SOLUTIONS - Solar w SGU - VIC,VIC,0.3586,3179,Solar,2025-04-22,Unsuspended,0,,2025,plastic solutions solar w sgu vic,plastic solutions,plastic solutions,solar,cer_historical_accredited_power_stations.csv
SRPXVC37,Pakenham SRP032 Solar VIC,VIC,0.4508,3810,Solar,2021-08-12,Unsuspended,0,,2021,pakenham srp032 solar vic,pakenham srp032 solar,pakenham srp032,solar,cer_historical_accredited_power_stations.csv
SRPXVCJ7,Petstock DC Avalon - Solar - VIC,VIC,0.4004,3212,Solar,2025-02-19,Unsuspended,0,,2025,petstock dc avalon solar vic,petstock dc avalon,petstock dc avalon,solar,cer_historical_accredited_power_stations.csv
SRPVVCO1,Phillip Island Visitor Centre Solar - VIC,VIC,0.2065,3922,Solar,2019-11-13,Unsuspended,0,,2019,phillip island visitor centre solar vic,phillip island visitor centre solar,phillip island visitor centre,solar,cer_historical_accredited_power_stations.csv
SRPXVC83,Phoenix Community College - Solar- VIC,VIC,0.1998,3356,Solar,2022-04-12,Unsuspended,0,,2022,phoenix community college solar vic,phoenix community college,phoenix community college,solar,cer_historical_accredited_power_stations.csv
SRPVVC12,Piangil Solar - VIC,VIC,0.5752,3597,Solar,2014-06-18,Unsuspended,0,,2014,piangil solar vic,piangil solar,piangil,solar,cer_historical_accredited_power_stations.csv
HYMCVC03,Pine Gully Micro Hydro - VIC,VIC,0.385,3840,Hydro,2010-02-01,Unsuspended,0,,2010,pine gully micro hydro vic,pine gully micro hydro,pine gully micro,hydro,cer_historical_accredited_power_stations.csv
