measure_code,parent_description,description,abs_reference_year,value,state,measure_name,source_file
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,42413.0,TAS,total_businesses_count,abs_ste_6_tas.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,43423.0,TAS,total_businesses_count,abs_ste_6_tas.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,44029.0,TAS,total_businesses_count,abs_ste_6_tas.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,45923.0,TAS,median_employee_income_aud,abs_ste_6_tas.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2019,47525.0,TAS,median_employee_income_aud,abs_ste_6_tas.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2020,48915.0,TAS,median_employee_income_aud,abs_ste_6_tas.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2021,50875.0,TAS,median_employee_income_aud,abs_ste_6_tas.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2022,52999.0,TAS,median_employee_income_aud,abs_ste_6_tas.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2018,51793.0,TAS,mean_employee_income_aud,abs_ste_6_tas.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2019,53375.0,TAS,mean_employee_income_aud,abs_ste_6_tas.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2020,55209.0,TAS,mean_employee_income_aud,abs_ste_6_tas.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2021,57349.0,TAS,mean_employee_income_aud,abs_ste_6_tas.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2022,59536.0,TAS,mean_employee_income_aud,abs_ste_6_tas.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2018,13372.7,TAS,total_employee_income_million_aud,abs_ste_6_tas.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2019,14235.1,TAS,total_employee_income_million_aud,abs_ste_6_tas.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2020,14979.7,TAS,total_employee_income_million_aud,abs_ste_6_tas.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2021,16002.8,TAS,total_employee_income_million_aud,abs_ste_6_tas.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2022,17330.3,TAS,total_employee_income_million_aud,abs_ste_6_tas.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2018,258195.0,TAS,employee_income_earners_count,abs_ste_6_tas.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2019,266706.0,TAS,employee_income_earners_count,abs_ste_6_tas.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2020,271325.0,TAS,employee_income_earners_count,abs_ste_6_tas.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2021,279043.0,TAS,employee_income_earners_count,abs_ste_6_tas.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2022,291089.0,TAS,employee_income_earners_count,abs_ste_6_tas.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2021,101687.0,VIC,business_entries_count,abs_ste_2_vic.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2022,142020.0,VIC,business_entries_count,abs_ste_2_vic.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2023,114589.0,VIC,business_entries_count,abs_ste_2_vic.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2024,124588.0,VIC,business_entries_count,abs_ste_2_vic.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2021,76482.0,VIC,business_exits_count,abs_ste_2_vic.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2022,83288.0,VIC,business_exits_count,abs_ste_2_vic.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2023,120931.0,VIC,business_exits_count,abs_ste_2_vic.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2024,105612.0,VIC,business_exits_count,abs_ste_2_vic.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2020,2129.0,VIC,utilities_businesses_count,abs_ste_2_vic.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,2234.0,VIC,utilities_businesses_count,abs_ste_2_vic.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,2320.0,VIC,utilities_businesses_count,abs_ste_2_vic.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,2426.0,VIC,utilities_businesses_count,abs_ste_2_vic.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,2489.0,VIC,utilities_businesses_count,abs_ste_2_vic.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,630992.0,VIC,total_businesses_count,abs_ste_2_vic.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,655507.0,VIC,total_businesses_count,abs_ste_2_vic.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,713211.0,VIC,total_businesses_count,abs_ste_2_vic.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,719367.0,VIC,total_businesses_count,abs_ste_2_vic.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,737915.0,VIC,total_businesses_count,abs_ste_2_vic.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,49890.0,VIC,median_employee_income_aud,abs_ste_2_vic.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2019,51487.0,VIC,median_employee_income_aud,abs_ste_2_vic.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2020,53010.0,VIC,median_employee_income_aud,abs_ste_2_vic.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2021,55526.0,VIC,median_employee_income_aud,abs_ste_2_vic.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2022,57653.0,VIC,median_employee_income_aud,abs_ste_2_vic.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2018,60456.0,VIC,mean_employee_income_aud,abs_ste_2_vic.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2019,62207.0,VIC,mean_employee_income_aud,abs_ste_2_vic.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2020,64331.0,VIC,mean_employee_income_aud,abs_ste_2_vic.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2021,67299.0,VIC,mean_employee_income_aud,abs_ste_2_vic.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2022,70089.0,VIC,mean_employee_income_aud,abs_ste_2_vic.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2018,196930.1,VIC,total_employee_income_million_aud,abs_ste_2_vic.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2019,209313.2,VIC,total_employee_income_million_aud,abs_ste_2_vic.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2020,219836.3,VIC,total_employee_income_million_aud,abs_ste_2_vic.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2021,228749.9,VIC,total_employee_income_million_aud,abs_ste_2_vic.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2022,248496.2,VIC,total_employee_income_million_aud,abs_ste_2_vic.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2018,3257440.0,VIC,employee_income_earners_count,abs_ste_2_vic.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2019,3364814.0,VIC,employee_income_earners_count,abs_ste_2_vic.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2020,3417277.0,VIC,employee_income_earners_count,abs_ste_2_vic.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2021,3398995.0,VIC,employee_income_earners_count,abs_ste_2_vic.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2022,3545413.0,VIC,employee_income_earners_count,abs_ste_2_vic.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2021,33109.0,WA,business_entries_count,abs_ste_5_wa.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2022,38295.0,WA,business_entries_count,abs_ste_5_wa.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2023,37305.0,WA,business_entries_count,abs_ste_5_wa.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2024,40902.0,WA,business_entries_count,abs_ste_5_wa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2021,25615.0,WA,business_exits_count,abs_ste_5_wa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2022,28617.0,WA,business_exits_count,abs_ste_5_wa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2023,33251.0,WA,business_exits_count,abs_ste_5_wa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2024,32653.0,WA,business_exits_count,abs_ste_5_wa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2020,771.0,WA,utilities_businesses_count,abs_ste_5_wa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,791.0,WA,utilities_businesses_count,abs_ste_5_wa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,785.0,WA,utilities_businesses_count,abs_ste_5_wa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,826.0,WA,utilities_businesses_count,abs_ste_5_wa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,859.0,WA,utilities_businesses_count,abs_ste_5_wa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,222944.0,WA,total_businesses_count,abs_ste_5_wa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,230280.0,WA,total_businesses_count,abs_ste_5_wa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,239858.0,WA,total_businesses_count,abs_ste_5_wa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,246673.0,WA,total_businesses_count,abs_ste_5_wa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,255396.0,WA,total_businesses_count,abs_ste_5_wa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,53769.0,WA,median_employee_income_aud,abs_ste_5_wa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2019,55094.0,WA,median_employee_income_aud,abs_ste_5_wa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2020,56664.0,WA,median_employee_income_aud,abs_ste_5_wa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2021,59700.0,WA,median_employee_income_aud,abs_ste_5_wa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2022,61638.0,WA,median_employee_income_aud,abs_ste_5_wa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2018,66798.0,WA,mean_employee_income_aud,abs_ste_5_wa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2019,68090.0,WA,mean_employee_income_aud,abs_ste_5_wa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2020,69914.0,WA,mean_employee_income_aud,abs_ste_5_wa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2021,73026.0,WA,mean_employee_income_aud,abs_ste_5_wa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2022,75363.0,WA,mean_employee_income_aud,abs_ste_5_wa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2018,90269.2,WA,total_employee_income_million_aud,abs_ste_5_wa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2019,93628.9,WA,total_employee_income_million_aud,abs_ste_5_wa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2020,97850.9,WA,total_employee_income_million_aud,abs_ste_5_wa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2021,104866.0,WA,total_employee_income_million_aud,abs_ste_5_wa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2022,115113.1,WA,total_employee_income_million_aud,abs_ste_5_wa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2018,1351385.0,WA,employee_income_earners_count,abs_ste_5_wa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2019,1375066.0,WA,employee_income_earners_count,abs_ste_5_wa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2020,1399583.0,WA,employee_income_earners_count,abs_ste_5_wa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2021,1436018.0,WA,employee_income_earners_count,abs_ste_5_wa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2022,1527447.0,WA,employee_income_earners_count,abs_ste_5_wa.csv
