measure_code,parent_description,description,abs_reference_year,value,state,measure_name,source_file
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,2606.0,NSW,utilities_businesses_count,abs_ste_1_nsw.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,2739.0,NSW,utilities_businesses_count,abs_ste_1_nsw.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,2787.0,NSW,utilities_businesses_count,abs_ste_1_nsw.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,2835.0,NSW,utilities_businesses_count,abs_ste_1_nsw.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,786246.0,NSW,total_businesses_count,abs_ste_1_nsw.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,817603.0,NSW,total_businesses_count,abs_ste_1_nsw.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,854727.0,NSW,total_businesses_count,abs_ste_1_nsw.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,870951.0,NSW,total_businesses_count,abs_ste_1_nsw.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,896560.0,NSW,total_businesses_count,abs_ste_1_nsw.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,51411.0,NSW,median_employee_income_aud,abs_ste_1_nsw.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2019,53104.0,NSW,median_employee_income_aud,abs_ste_1_nsw.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2020,54989.0,NSW,median_employee_income_aud,abs_ste_1_nsw.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2021,57891.0,NSW,median_employee_income_aud,abs_ste_1_nsw.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2022,58972.0,NSW,median_employee_income_aud,abs_ste_1_nsw.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2018,64509.0,NSW,mean_employee_income_aud,abs_ste_1_nsw.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2019,66377.0,NSW,mean_employee_income_aud,abs_ste_1_nsw.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2020,68690.0,NSW,mean_employee_income_aud,abs_ste_1_nsw.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2021,71848.0,NSW,mean_employee_income_aud,abs_ste_1_nsw.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2022,74232.0,NSW,mean_employee_income_aud,abs_ste_1_nsw.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2018,262837.0,NSW,total_employee_income_million_aud,abs_ste_1_nsw.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2019,276433.8,NSW,total_employee_income_million_aud,abs_ste_1_nsw.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2020,288047.0,NSW,total_employee_income_million_aud,abs_ste_1_nsw.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2021,301434.4,NSW,total_employee_income_million_aud,abs_ste_1_nsw.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2022,321298.7,NSW,total_employee_income_million_aud,abs_ste_1_nsw.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2018,4074444.0,NSW,employee_income_earners_count,abs_ste_1_nsw.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2019,4164609.0,NSW,employee_income_earners_count,abs_ste_1_nsw.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2020,4193441.0,NSW,employee_income_earners_count,abs_ste_1_nsw.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2021,4195471.0,NSW,employee_income_earners_count,abs_ste_1_nsw.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2022,4328284.0,NSW,employee_income_earners_count,abs_ste_1_nsw.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2021,2259.0,NT,business_entries_count,abs_ste_7_nt.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2022,2763.0,NT,business_entries_count,abs_ste_7_nt.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2023,2672.0,NT,business_entries_count,abs_ste_7_nt.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2024,2743.0,NT,business_entries_count,abs_ste_7_nt.csv
