ERP_M_36,Estimated resident population - Males - year ended 30 June,Males - 75-79 years (%),,,,,,2.5,2.7,2.8,3,3.1,3.2,
ERP_M_37,Estimated resident population - Males - year ended 30 June,Males - 80-84 years (%),,,,,,1.6,1.7,1.8,1.9,1.9,1.9,
ERP_M_38,Estimated resident population - Males - year ended 30 June,Males - 85 and over (%),,,,,,1.3,1.4,1.4,1.5,1.5,1.6,
ERP_F_2,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (no.),,,,,,83773,83464,82778,82616,82302,82081,
ERP_F_3,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (no.),,,,,,85826,86648,87381,87877,89241,90141,
ERP_F_4,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (no.),,,,,,82269,85038,86908,87892,89416,91615,
ERP_F_5,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (no.),,,,,,75528,75958,77023,80077,84424,87651,
ERP_F_6,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (no.),,,,,,82029,82332,80580,80379,84884,88210,
ERP_F_7,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (no.),,,,,,94462,93749,91703,91849,98400,103593,
ERP_F_8,Estimated resident population - Females - year ended 30 June,Females - 30-34 years (no.),,,,,,103272,103946,103749,103386,107676,110812,
ERP_F_9,Estimated resident population - Females - year ended 30 June,Females - 35-39 years (no.),,,,,,97445,101131,103748,106155,109904,113510,
ERP_F_10,Estimated resident population - Females - year ended 30 June,Females - 40-44 years (no.),,,,,,86734,88684,91759,94983,99881,104531,
ERP_F_11,Estimated resident population - Females - year ended 30 June,Females - 45-49 years (no.),,,,,,90188,90547,89410,88313,88915,90626,
ERP_F_12,Estimated resident population - Females - year ended 30 June,Females - 50-54 years (no.),,,,,,83825,85629,88221,90666,92026,92301,
ERP_F_13,Estimated resident population - Females - year ended 30 June,Females - 55-59 years (no.),,,,,,82137,83651,83775,83580,83910,84931,
ERP_F_14,Estimated resident population - Females - year ended 30 June,Females - 60-64 years (no.),,,,,,73617,76678,78355,79943,81672,82830,
ERP_F_15,Estimated resident population - Females - year ended 30 June,Females - 65-69 years (no.),,,,,,63777,66736,68771,70182,71882,73788,
ERP_F_16,Estimated resident population - Females - year ended 30 June,Females - 70-74 years (no.),,,,,,52425,56194,59306,60020,61541,62927,
ERP_F_17,Estimated resident population - Females - year ended 30 June,Females - 75-79 years (no.),,,,,,36387,38259,40211,43984,47487,50531,
ERP_F_18,Estimated resident population - Females - year ended 30 June,Females - 80-84 years (no.),,,,,,26360,27707,28830,30020,30910,32321,
ERP_F_19,Estimated resident population - Females - year ended 30 June,Females - 85 and over (no.),,,,,,28404,29430,30540,31521,32609,33919,
ERP_F_21,Estimated resident population - Females - year ended 30 June,Females - 0-4 years (%),,,,,,6.3,6.2,6,5.9,5.7,5.6,
ERP_F_22,Estimated resident population - Females - year ended 30 June,Females - 5-9 years (%),,,,,,6.5,6.4,6.4,6.3,6.2,6.1,
ERP_F_23,Estimated resident population - Females - year ended 30 June,Females - 10-14 years (%),,,,,,6.2,6.3,6.3,6.3,6.2,6.2,
ERP_F_24,Estimated resident population - Females - year ended 30 June,Females - 15-19 years (%),,,,,,5.7,5.6,5.6,5.7,5.9,5.9,
ERP_F_25,Estimated resident population - Females - year ended 30 June,Females - 20-24 years (%),,,,,,6.2,6.1,5.9,5.8,5.9,6,
ERP_F_26,Estimated resident population - Females - year ended 30 June,Females - 25-29 years (%),,,,,,7.1,6.9,6.7,6.6,6.8,7,
